track_name,artist_name,artist_genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
MIDDLE CHILD,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",83,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,2JvzF1RMd7lE3KmFlsyZD8,213594,4
It'll Be Okay,Shawn Mendes,"['canadian pop', 'dance pop', 'pop', 'viral pop']",90,0.398,0.286,7,-11.881,1,0.033,0.616,0.000146,0.0912,0.0666,78.262,2KnLkZ3z7PO3kgVGHGqDpD,222800,4
Come & Go (with Marshmello),Juice WRLD,"['chicago rap', 'melodic rap']",84,0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991,2Y0wPrPQBrGhoLn14xRYCG,205485,4
EARFQUAKE,"Tyler, The Creator","['hip hop', 'rap']",83,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,5hVghJ4KaYES3BFUATCYn0,190067,4
The Motto,Tiësto,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",93,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,18asYwWugKjjsihZ0YvRxO,164819,4
Fell In Luv (feat. Bryson Tiller),Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rap', 'trap']",82,0.657,0.668,2,-6.208,1,0.136,0.0273,0.0,0.32,0.227,162.997,1s9DTymg5UQrdorZf43JQm,206333,4
Calling My Phone,Lil Tjay,"['brooklyn drill', 'melodic rap', 'nyc rap']",85,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,3J8EOeKLTLXORtWPpOU5bE,205458,4
Sand In My Boots,Morgan Wallen,['contemporary country'],79,0.403,0.537,3,-6.628,1,0.031,0.59,0.0,0.112,0.414,69.877,0uRrG2jRR5tuifsYIJHEao,202133,4
SAD!,XXXTENTACION,"['emo rap', 'miami hip hop']",86,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,3ee8Jmje8o58CHK66QrVC2,166606,4
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,"['canadian pop', 'pop']",90,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,4iJyoBOLtHqaGxP12qzhQI,198082,4
Lost in the Fire (feat. The Weeknd),Gesaffelstein,"['dark clubbing', 'destroy techno']",88,0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,2vXKRlJBXyOcvZYTdNeckS,202093,4
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,"['lgbtq+ hip hop', 'pop']",90,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,5Z9KJZvQzH6PFmb8SNkxuk,212353,4
Kiss Me More (feat. SZA),Doja Cat,"['dance pop', 'pop']",88,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,3DarAbFujv6eYNliUTyqtz,208667,4
No Idea,Don Toliver,"['pop', 'rap', 'trap']",86,0.652,0.631,6,-5.718,0,0.0893,0.524,0.000579,0.165,0.35,127.998,7AzlLxHn24DxjgQX73F9fU,154424,4
LOT OF ME,Lil Tecca,"['melodic rap', 'pluggnb', 'rap', 'trap']",82,0.704,0.537,0,-8.565,1,0.302,0.223,0.0,0.122,0.7,77.444,2ZXxRC6V6AXzMdbLQZMHSB,123871,4
Formula,Labrinth,"['indie poptimism', 'pop']",88,0.574,0.664,11,-6.068,1,0.0409,0.0448,0.0553,0.146,0.226,144.654,6EtKlIQmGPB9SX8UjDJG5s,91870,4
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,"['dfw rap', 'melodic rap', 'rap']",87,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,3KkXRkHbMCARz0aVfEt68P,158040,4
happier,Olivia Rodrigo,['pop'],88,0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924,2tGvwE8GcFKwNdAXMnlbfl,175933,3
